CNPJ,COMPANY_NAME,FANTASY_NAME,ADDRESS,NUMBER,COMPLEMENT,NEIGHBORHOOD,ZIP_CODE,MUNICIPALITY,STATE,FLAG,PRODUCT, UNIT_OF_MEASUREMENT,RETAIL_PRICE,DATE_OF_COLLECTION
61602199002409,COMPANHIA ULTRAGAZ S A,ULTRAGAZ,RUA AMARO CASTRO LIMA,1852,,VILA NOVA CAMPO GRANDE,79106361,CAMPO GRANDE,MATO GROSSO DO SUL,ULTRAGAZ,GLP,R$ / 13 kg,110.0,2023-02-07
61602199006587,COMPANHIA ULTRAGAZ S A,ULTRAGAZ,AVENIDA CAIRU,989,,NAVEGANTES,90230031,PORTO ALEGRE,RIO GRANDE DO SUL,ULTRAGAZ,GLP,R$ / 13 kg,105.0,2023-02-07
3188000121,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061000,SOROCABA,SAO PAULO,BRANCA,ETANOL,R$ / litro,3.25,2023-02-06
3188000121,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061000,SOROCABA,SAO PAULO,BRANCA,DIESEL S10,R$ / litro,5.99,2023-02-06
3188000121,COMPETRO COMERCIO E DISTRIBUICAO DE DERIVADOS DE PETROLEO LTDA,COMPETRO,RUA HUMBERTO DE CAMPOS,306,,JARDIM ZULMIRA,18061000,SOROCABA,SAO PAULO,BRANCA,GASOLINA COMUM,R$ / litro,4.34,2023-02-06
19791896002065,SUPERGASBRAS ENERGIA LTDA.,SUPERGASBRAS ENERGIA,AVENIDA PRESIDENTE JOÃO BELCHIOR GOULART,7565,,FRAGATA,96040000,PELOTAS,RIO GRANDE DO SUL,SUPERGASBRAS ENERGIA,GLP,R$ / 13 kg,108.0,2023-02-06
46395687004108,BAHIANA DISTRIBUIDORA DE GÁS LTDA,BAHIANA,ROD BR 415,5075,KM 04,CENTRO INDUSTRIAL,45613000,ITABUNA,BAHIA,BAHIANA,GLP,R$ / 13 kg,105.0,2023-02-08
8220930000162,CODEPE COMBUSTIVEIS LTDA,CODEPE,LOTEAMENTO PORTAL DA AMAZONIA,S/N,"QUADRA 101 LTS 01,02,03,04, 05 E 33",CALAFATE,69905801,RIO BRANCO,ACRE,FOGAS,GLP,R$ / 13 kg,125.0,2023-02-08
8220930000162,CODEPE COMBUSTIVEIS LTDA,CODEPE,LOTEAMENTO PORTAL DA AMAZONIA,S/N,"QUADRA 101 LTS 01,02,03,04, 05 E 33",CALAFATE,69905801,RIO BRANCO,ACRE,VIBRA ENERGIA,ETANOL,R$ / litro,4.29,2023-02-08
8220930000162,CODEPE COMBUSTIVEIS LTDA,CODEPE,LOTEAMENTO PORTAL DA AMAZONIA,S/N,"QUADRA 101 LTS 01,02,03,04, 05 E 33",CALAFATE,69905801,RIO BRANCO,ACRE,VIBRA ENERGIA,DIESEL S10,R$ / litro,7.19,2023-02-08
